,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRFRAME LOGBOOK,,,,,,,,,,,,,ENGINE LOGBOOK  LH,,,,,,,,,,,ENGINE LOGBOOK  RH,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registry No.:,RP-C8015,,,,,,,SN:,20536,,,,Registry No.:,RP-C8015,,,,,,Eng. SN:,P-674544,,,Registry No.:,RP-C8015,,,,,,Eng. SN:,P-674548,
DATE,CYCLES,TAC,FLT TIME,,TAT,,BLOCK,,TOT BLOCK,,,,DATE,CYCLES,CSN,CSO,FLT TIME,,TSN,,TSO,,,DATE,CYCLES,CSN,CSO,FLT TIME,,TSN,,TSO,
,,,h,m,h,m,h,m,h,m,,,,,,,h,m,h,m,h,m,,,,,,h,m,h,m,h,m
27-Oct-06,4,"  42,390 ",5,:31,"  45,635 ",:03,6,:17,227,:15,,,27-Oct-06,4,"  23,564 ","  3,875 ",5,:31,"  24,056 ",:56,"  3,966 ",:52,,27-Oct-06,4,"  28,392 ","  10,453 ",5,:31,"  29,426 ",:27,"  11,239 ",:22
28-Oct-06,4,"  42,394 ",5,:30,"  45,640 ",:33,6,:24,233,:39,,,28-Oct-06,4,"  23,568 ","  3,879 ",5,:30,"  24,062 ",:26,"  3,972 ",:22,,28-Oct-06,4,"  28,396 ","  10,457 ",5,:30,"  29,431 ",:57,"  11,244 ",:52
29-Oct-06,4,"  42,398 ",5,:34,"  45,646 ",:07,6,:24,240,:03,,,29-Oct-06,4,"  23,572 ","  3,883 ",5,:34,"  24,068 ",:00,"  3,977 ",:56,,29-Oct-06,4,"  28,400 ","  10,461 ",5,:34,"  29,437 ",:31,"  11,250 ",:26
31-Oct-06,4,"  42,402 ",5,:21,"  45,651 ",:28,6,:07,246,:10,,,31-Oct-06,4,"  23,576 ","  3,887 ",5,:21,"  24,073 ",:21,"  3,983 ",:17,,31-Oct-06,4,"  28,404 ","  10,465 ",5,:21,"  29,442 ",:52,"  11,255 ",:47
01-Nov-06,4,"  42,406 ",5,:50,"  45,657 ",:18,6,:35,252,:45,,,01-Nov-06,4,"  23,580 ","  3,891 ",5,:50,"  24,079 ",:11,"  3,989 ",:07,,01-Nov-06,4,"  28,408 ","  10,469 ",5,:50,"  29,448 ",:42,"  11,261 ",:37
02-Nov-06,4,"  42,410 ",5,:32,"  45,662 ",:50,6,:25,259,:10,,,02-Nov-06,4,"  23,584 ","  3,895 ",5,:32,"  24,084 ",:43,"  3,994 ",:39,,02-Nov-06,4,"  28,412 ","  10,473 ",5,:32,"  29,454 ",:14,"  11,267 ",:09
03-Nov-06,4,"  42,414 ",5,:29,"  45,668 ",:19,6,:25,265,:35,,,03-Nov-06,4,"  23,588 ","  3,899 ",5,:29,"  24,090 ",:12,"  4,000 ",:08,,03-Nov-06,4,"  28,416 ","  10,477 ",5,:29,"  29,459 ",:43,"  11,272 ",:38
04-Nov-06,4,"  42,418 ",5,:27,"  45,673 ",:46,6,:10,271,:45,,,04-Nov-06,4,"  23,592 ","  3,903 ",5,:27,"  24,095 ",:39,"  4,005 ",:35,,04-Nov-06,4,"  28,420 ","  10,481 ",5,:27,"  29,465 ",:10,"  11,278 ",:05
05-Nov-06,2,"  42,420 ",2,:38,"  45,676 ",:24,2,:55,274,:40,,,05-Nov-06,2,"  23,594 ","  3,905 ",2,:38,"  24,098 ",:17,"  4,008 ",:13,,05-Nov-06,2,"  28,422 ","  10,483 ",2,:38,"  29,467 ",:48,"  11,280 ",:43
07-Nov-06,2,"  42,422 ",2,:43,"  45,679 ",:07,3,:11,277,:51,,,07-Nov-06,2,"  23,596 ","  3,907 ",2,:43,"  24,101 ",:00,"  4,010 ",:56,,07-Nov-06,2,"  28,424 ","  10,485 ",2,:43,"  29,470 ",:31,"  11,283 ",:26
08-Nov-06,4,"  42,426 ",5,:24,"  45,684 ",:31,6,:02,283,:53,,,08-Nov-06,4,"  23,600 ","  3,911 ",5,:24,"  24,106 ",:24,"  4,016 ",:20,,08-Nov-06,4,"  28,428 ","  10,489 ",5,:24,"  29,475 ",:55,"  11,288 ",:50
09-Nov-06,4,"  42,430 ",5,:16,"  45,689 ",:47,6,:08,290,:01,,,09-Nov-06,4,"  23,604 ","  3,915 ",5,:16,"  24,111 ",:40,"  4,021 ",:36,,09-Nov-06,4,"  28,432 ","  10,493 ",5,:16,"  29,481 ",:11,"  11,294 ",:06
10-Nov-06,6,"  42,436 ",7,:56,"  45,697 ",:43,6,:08,296,:09,,,10-Nov-06,6,"  23,610 ","  3,921 ",7,:56,"  24,119 ",:36,"  4,029 ",:32,,10-Nov-06,6,"  28,438 ","  10,499 ",7,:56,"  29,489 ",:07,"  11,302 ",:02
11-Nov-06,2,"  42,438 ",2,:46,"  45,700 ",:29,,,296,:09,,,11-Nov-06,2,"  23,612 ","  3,923 ",2,:46,"  24,122 ",:22,"  4,032 ",:18,,11-Nov-06,2,"  28,440 ","  10,501 ",2,:46,"  29,491 ",:53,"  11,304 ",:48
12-Nov-06,2,"  42,440 ",2,:41,"  45,703 ",:10,,,296,:09,,,12-Nov-06,2,"  23,614 ","  3,925 ",2,:41,"  24,125 ",:03,"  4,034 ",:59,,12-Nov-06,2,"  28,442 ","  10,503 ",2,:41,"  29,494 ",:34,"  11,307 ",:29
14-Nov-06,3,"  42,443 ",4,:10,"  45,707 ",:20,,,296,:09,,,14-Nov-06,3,"  23,617 ","  3,928 ",4,:10,"  24,129 ",:13,"  4,039 ",:09,,14-Nov-06,3,"  28,445 ","  10,506 ",4,:10,"  29,498 ",:44,"  11,311 ",:39
15-Nov-06,5,"  42,448 ",6,:16,"  45,713 ",:36,,,296,:09,,,15-Nov-06,5,"  23,622 ","  3,933 ",6,:16,"  24,135 ",:29,"  4,045 ",:25,,15-Nov-06,5,"  28,450 ","  10,511 ",6,:16,"  29,505 ",:00,"  11,317 ",:55
16-Nov-06,4,"  42,452 ",5,:22,"  45,718 ",:58,,,296,:09,,,16-Nov-06,4,"  23,626 ","  3,937 ",5,:22,"  24,140 ",:51,"  4,050 ",:47,,16-Nov-06,4,"  28,454 ","  10,515 ",5,:22,"  29,510 ",:22,"  11,323 ",:17
17-Nov-06,4,"  42,456 ",5,:11,"  45,724 ",:09,,,296,:09,,,17-Nov-06,4,"  23,630 ","  3,941 ",5,:11,"  24,146 ",:02,"  4,055 ",:58,,17-Nov-06,4,"  28,458 ","  10,519 ",5,:11,"  29,515 ",:33,"  11,328 ",:28
18-Nov-06,2,"  42,400 ",2,:53,"  45,649 ",:00,,,240,:03,,,18-Nov-06,2,"  23,574 ","  3,885 ",2,:53,"  24,070 ",:53,"  3,980 ",:49,,18-Nov-06,2,"  28,402 ","  10,463 ",2,:53,"  29,440 ",:24,"  11,253 ",:19
19-Nov-06,2,"  42,402 ",2,:32,"  45,651 ",:32,,,240,:03,,,19-Nov-06,2,"  23,576 ","  3,887 ",2,:32,"  24,073 ",:25,"  3,983 ",:21,,19-Nov-06,2,"  28,404 ","  10,465 ",2,:32,"  29,442 ",:56,"  11,255 ",:51
21-Nov-06,3,"  42,405 ",4,:15,"  45,655 ",:47,,,240,:03,,,21-Nov-06,3,"  23,579 ","  3,890 ",4,:15,"  24,077 ",:40,"  3,987 ",:36,,21-Nov-06,3,"  28,407 ","  10,468 ",4,:15,"  29,447 ",:11,"  11,260 ",:06
22-Nov-06,3,"  42,408 ",4,:09,"  45,659 ",:56,,,240,:03,,,22-Nov-06,3,"  23,582 ","  3,893 ",4,:09,"  24,081 ",:49,"  3,991 ",:45,,22-Nov-06,3,"  28,410 ","  10,471 ",4,:09,"  29,451 ",:20,"  11,264 ",:15
23-Nov-06,2,"  42,410 ",2,:34,"  45,662 ",:30,,,240,:03,,,23-Nov-06,2,"  23,584 ","  3,895 ",2,:34,"  24,084 ",:23,"  3,994 ",:19,,23-Nov-06,2,"  28,412 ","  10,473 ",2,:34,"  29,453 ",:54,"  11,266 ",:49
24-Nov-06,4,"  42,414 ",5,:17,"  45,667 ",:47,,,240,:03,,,24-Nov-06,4,"  23,588 ","  3,899 ",5,:17,"  24,089 ",:40,"  3,999 ",:36,,24-Nov-06,4,"  28,416 ","  10,477 ",5,:17,"  29,459 ",:11,"  11,272 ",:06
25-Nov-06,2,"  42,416 ",2,:40,"  45,670 ",:27,,,240,:03,,,25-Nov-06,2,"  23,590 ","  3,901 ",2,:40,"  24,092 ",:20,"  4,002 ",:16,,25-Nov-06,2,"  28,418 ","  10,479 ",2,:40,"  29,461 ",:51,"  11,274 ",:46
26-Nov-06,2,"  42,418 ",2,:31,"  45,672 ",:58,,,240,:03,,,26-Nov-06,2,"  23,592 ","  3,903 ",2,:31,"  24,094 ",:51,"  4,004 ",:47,,26-Nov-06,2,"  28,420 ","  10,481 ",2,:31,"  29,464 ",:22,"  11,277 ",:17
28-Nov-06,4,"  42,430 ",5,:20,"  45,689 ",:51,,,283,:53,,,28-Nov-06,4,"  23,604 ","  3,915 ",5,:20,"  24,111 ",:44,"  4,021 ",:40,,28-Nov-06,4,"  28,432 ","  10,493 ",5,:20,"  29,481 ",:15,"  11,294 ",:10
29-Nov-06,4,"  42,434 ",5,:15,"  45,695 ",:06,,,283,:53,,,29-Nov-06,4,"  23,608 ","  3,919 ",5,:15,"  24,116 ",:59,"  4,026 ",:55,,29-Nov-06,4,"  28,436 ","  10,497 ",5,:15,"  29,486 ",:30,"  11,299 ",:25
30-Nov-06,4,"  42,438 ",5,:15,"  45,700 ",:21,,,283,:53,,,30-Nov-06,4,"  23,612 ","  3,923 ",5,:15,"  24,122 ",:14,"  4,032 ",:10,,30-Nov-06,4,"  28,440 ","  10,501 ",5,:15,"  29,491 ",:45,"  11,304 ",:40
