,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRFRAME LOGBOOK,,,,,,,,,,,,,ENGINE LOGBOOK  LH,,,,,,,,,,,ENGINE LOGBOOK  RH,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registry No.:,RP-C8015,,,,,,,SN:,20536,,,,Registry No.:,RP-C8015,,,,,,Eng. SN:,P-674544,,,Registry No.:,RP-C8015,,,,,,Eng. SN:,P-674548,
DATE,CYCLES,TAC,FLT TIME,,TAT,,BLOCK,,TOT BLOCK,,,,DATE,CYCLES,CSN,CSO,FLT TIME,,TSN,,TSO,,,DATE,CYCLES,CSN,CSO,FLT TIME,,TSN,,TSO,
,,,h,m,h,m,h,m,h,m,,,,,,,h,m,h,m,h,m,,,,,,h,m,h,m,h,m
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
TOTALS,365,"  42,456 ",509,:29,"  45,724 ",:09,,,296,:09,,,TOTALS,365,"  23,630 ","  3,941 ",509,:29,"  24,146 ",:02,"  4,055 ",:58,,TOTALS,365,"  28,458 ","  10,519 ",509,:29,"  29,515 ",:33,"  11,328 ",:28
NOTE:     For monitoring purposes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
